Company,Rating,Reviews,Industry & Location
JCB,3.9,(2.2k),Pune +103 other locations
Datamatics Global Services,3.4,(2.2k),IT Services & Consulting | Mumbai +31 other locations
Lifestyle,4.3,(2.1k),Retail | Bangalore / Bengaluru +127 other locations
Intellect Design Arena,3.9,(2.2k),Software Product | Chennai +37 other locations
Adani Power,3.9,(2.1k),Power | Mundra +111 other locations
Biocon Limited,4.0,(2.1k),Biotechnology | Bangalore / Bengaluru +63 other locations
Huawei Technologies,4.0,(2.1k),Telecom | Bangalore / Bengaluru +104 other locations
Info Edge,3.9,(2.1k),Internet | Noida +65 other locations
Akums Drugs & Pharmaceuticals Limited,4.3,(2.1k),Pharma | Haridwar +34 other locations
Gallagher,3.7,(2.1k),Insurance | Bangalore / Bengaluru +26 other locations
Planet Spark,3.8,(2.1k),EdTech | Gurgaon / Gurugram +61 other locations
Cybage,3.8,(2.1k),IT Services & Consulting | Pune +13 other locations
Aditya Birla Group,4.1,(2.1k),Building Material | Mumbai +243 other locations
Cholamandalam MS General Insurance,3.8,(2.1k),Insurance | Chennai +360 other locations
Emcure Pharmaceuticals,3.7,(2.1k),Pune +105 other locations
ICICI Securities,3.9,(2.1k),Financial Services | Mumbai +139 other locations
Lava International,4.0,(2.1k),Consumer Electronics & Appliances | Noida +218 other locations
IntouchCX,2.8,(2.1k),BPO | Hyderabad / Secunderabad +20 other locations
3i Infotech,3.4,(2.1k),IT Services & Consulting | Mumbai +115 other locations
Delhi Public School,3.9,(2.1k),New Delhi +257 other locations
Syngene International,3.9,(2.1k),Clinical Research | Bangalore / Bengaluru +20 other locations
Xoriant,4.1,(2.1k),IT Services & Consulting | Pune +23 other locations
Mahindra Holidays & Resorts,3.5,(2.1k),Hospitality | Mumbai +106 other locations
Cloudnine Hospital,4.4,(2.4k),Healthcare | Bangalore / Bengaluru +34 other locations
Bharat Financial Inclusion,3.9,(2.1k),NBFC | Hyderabad / Secunderabad +411 other locations
Canara HSBC Life Insurance,3.6,(2.1k),Insurance | Gurgaon / Gurugram +284 other locations
Sagility,3.9,(2.1k),BPO | Bangalore / Bengaluru +23 other locations
Unacademy,3.0,(2.1k),EdTech | Bangalore / Bengaluru +67 other locations
Simplex Infrastructures,3.4,(2k),Engineering & Construction | Kolkata +134 other locations
Eureka Forbes,3.7,(2.1k),Consumer Electronics & Appliances | Mumbai +174 other locations
Niva Bupa Health Insurance Company ,3.6,(2k),Insurance | New Delhi +234 other locations
Ola Cabs,3.3,(2k),Internet | Bangalore / Bengaluru +100 other locations
Nokia Networks,4.2,(2k),Hardware & Networking | Bangalore / Bengaluru +84 other locations
Hero FinCorp,4.0,(2k),NBFC | New Delhi +365 other locations
Myntra,3.9,(2k),Internet | Bangalore / Bengaluru +102 other locations
Cadila Pharmaceuticals,3.4,(2k),Pharma | Ahmedabad +123 other locations
Radisson Hotels,4.0,(2k),New Delhi +117 other locations
Sobha,3.8,(2k),Real Estate | Bangalore / Bengaluru +37 other locations
State Street Syntel,3.7,(2k),Financial Services | Pune +22 other locations
Laurus Labs,4.2,(2k),Pharma | Visakhapatnam +27 other locations
Tata Advanced Systems,3.7,(2k),Defence & Aerospace | Bangalore / Bengaluru +44 other locations
Photon Interactive,4.1,(2k),IT Services & Consulting | Chennai +13 other locations
Bureau Veritas,3.8,(2k),Other | Mumbai +127 other locations
Straive,3.4,(2k),Analytics & KPO | Chennai +28 other locations
Whirlpool,3.9,(2k),Consumer Electronics & Appliances | Pune +153 other locations
GlaxoSmithKline Pharmaceuticals,4.1,(2k),Pharma | Bangalore / Bengaluru +200 other locations
Exl India,3.5,(2k),Logistics | New Delhi +37 other locations
Cisco,4.2,(2k),Hardware & Networking | Bangalore / Bengaluru +43 other locations
Extramarks Education,3.5,(2k),EdTech | Noida +105 other locations
Indian Railways,4.2,(2k),Railways | New Delhi +228 other locations
Kia Motors,3.9,(2k),Automobile | Anantapur +168 other locations
BHEL,4.1,(1.9k),Electrical Equipment | Bangalore / Bengaluru +117 other locations
RMSI,3.7,(2k),IT Services & Consulting | Hyderabad / Secunderabad +20 other locations
Ninjacart,3.9,(1.9k),Internet | Bangalore / Bengaluru +105 other locations
Sopra Steria,3.8,(1.9k),IT Services & Consulting | Noida +18 other locations
Renault Nissan Technology & Business Centre India,3.8,(1.9k),Automobile | Chennai +16 other locations
Ambuja Cements,3.9,(1.9k),Building Material | Mumbai +229 other locations
GVK Emergency Management and Research Institute,3.6,(1.9k),Lucknow +185 other locations
Life Insurance Corporation of India,4.4,(1.9k),Insurance | New Delhi +444 other locations
Bharti AXA Life Insurance,3.8,(1.9k),Insurance | Mumbai +233 other locations
Endurance Technologies,3.9,(1.9k),Auto Components | Aurangabad +44 other locations
Pfizer,3.9,(1.9k),Pharma | Visakhapatnam +117 other locations
Shahi Exports,4.0,(1.9k),Fashion & Textile | Bangalore / Bengaluru +64 other locations
Aavas Financiers ,3.9,(1.9k),NBFC | Jaipur +265 other locations
Force Motors,3.6,(1.9k),Automobile | Pune +95 other locations
Lodha Group,4.0,(1.9k),Real Estate | Mumbai +23 other locations
Adani Wilmar,4.1,(1.9k),FMCG | Ahmedabad +182 other locations
Aditya Birla Capital,3.9,(1.9k),Financial Services | Mumbai +246 other locations
Physicswallah,3.7,(1.9k),EdTech | Noida +101 other locations
Adani Group,3.9,(1.9k),Power | Ahmedabad +165 other locations
upGrad,3.6,(1.9k),EdTech | Bangalore / Bengaluru +47 other locations
Bank of Baroda,3.5,(1.9k),Banking | Mumbai +277 other locations
Renault-Nissan,4.1,(1.9k),Chennai +80 other locations
Panasonic Life Solutions India,4.0,(1.9k),Consumer Electronics & Appliances | Haridwar +146 other locations
ValueLabs,3.7,(1.9k),IT Services & Consulting | Hyderabad / Secunderabad +17 other locations
Apollo Pharmacy,3.8,(1.9k),Hyderabad / Secunderabad +244 other locations
Raymond Lifestyle Limited,4.1,(1.9k),Fashion & Textile | Mumbai +133 other locations
Coromandel International,4.1,(1.9k),Agro Chemicals | Visakhapatnam +164 other locations
TCE,3.8,(1.9k),Engineering & Construction | Mumbai +123 other locations
Reliance Trends,4.1,(1.9k),Retail | Bangalore / Bengaluru +359 other locations
Allstate,3.8,(1.9k),Insurance | Pune +13 other locations
Microsoft Corporation,3.9,(1.9k),Software Product | Bangalore / Bengaluru +43 other locations
Sify Technologies,3.8,(1.9k),IT Services & Consulting | Chennai +120 other locations
SBI Securities,3.8,(1.9k),Financial Services | Mumbai +279 other locations
Cargill,4.0,(1.9k),Food Processing | Bangalore / Bengaluru +106 other locations
HSBC Electronic Data Processing,4.1,(1.8k),Banking | Bangalore / Bengaluru +17 other locations
CAMS,3.6,(1.9k),Financial Services | Chennai +98 other locations
Meesho,3.7,(1.9k),Internet | Bangalore / Bengaluru +115 other locations
SAP,4.2,(1.8k),Software Product | Bangalore / Bengaluru +50 other locations
Bharat Petroleum,4.1,(1.8k),Oil & Gas | Mumbai +240 other locations
Brakes India,3.9,(1.8k),Auto Components | Chennai +85 other locations
Delphi TVS,3.9,(1.8k),Auto Components | Chennai +49 other locations
Poonawalla Fincorp,3.7,(1.8k),NBFC | Pune +253 other locations
Star Union Dai-ichi Life Insurance,3.9,(1.8k),Insurance | Mumbai +281 other locations
Henry Harvin Education,3.8,(1.9k),Noida +28 other locations
SBI General Insurance,3.7,(1.8k),Insurance | Mumbai +256 other locations
Future Generali India Life Insurance,3.6,(1.8k),Insurance | Mumbai +183 other locations
TaskUs,3.2,(1.8k),BPO | Indore +32 other locations
Power Mech Projects,3.8,(1.8k),Engineering & Construction | Hyderabad / Secunderabad +139 other locations
Spark Minda,3.9,(1.8k),Auto Components | Pune +65 other locations
Team Computers,3.7,(1.9k),IT Services & Consulting | New Delhi +94 other locations
BNP Paribas,3.8,(1.8k),Financial Services | Mumbai +25 other locations
Tata Motors Finance,4.1,(1.8k),NBFC | Mumbai +243 other locations
Senco Gold,4.4,(1.8k),Jewellery | Kolkata +73 other locations
ITC Hotels,4.1,(1.8k),Bangalore / Bengaluru +83 other locations
CitiusTech,3.3,(1.8k),IT Services & Consulting | Mumbai +16 other locations
Novartis,4.1,(1.8k),Pharma | Hyderabad / Secunderabad +73 other locations
Saint-Gobain,4.0,(1.8k),Engineering & Construction | Mumbai +93 other locations
Foxconn,3.8,(1.8k),Electronics Manufacturing | Chennai +51 other locations
YASH Technologies,3.8,(1.8k),IT Services & Consulting | Hyderabad / Secunderabad +28 other locations
JK Tyres,3.7,(1.7k),Auto Components | Chennai +131 other locations
Kotak Securities,3.6,(1.8k),Financial Services | Mumbai +131 other locations
Morgan Stanley,3.6,(1.8k),Financial Services | Mumbai +17 other locations
Google,4.4,(1.8k),Software Product | Bangalore / Bengaluru +83 other locations
Mercedes-Benz Research and Development India,3.8,(1.8k),IT Services & Consulting | Bangalore / Bengaluru +46 other locations
Daikin,4.1,(1.8k),Consumer Electronics & Appliances | Neemrana +99 other locations
Future Retail,4.3,(1.7k),Retail | Mumbai +197 other locations
AECOM,4.2,(1.7k),Engineering & Construction | Gurgaon / Gurugram +116 other locations
FirstCry,3.6,(1.8k),Internet | Pune +185 other locations
Reliance General Insurance,3.7,(1.7k),Insurance | Mumbai +184 other locations
L&T Energy Hydrocarbon,3.9,(1.7k),Engineering & Construction | Vadodara +81 other locations
IDBI Bank,3.5,(1.7k),Banking | Mumbai +304 other locations
Crisil,3.6,(1.7k),Analytics & KPO | Mumbai +68 other locations
Parle Products,3.9,(1.7k),FMCG | Mumbai +223 other locations
Honeywell Automation,3.8,(1.7k),Industrial Automation | Pune +75 other locations
Lucas-TVS,3.9,(1.7k),Auto Components | Chennai +73 other locations
KENT RO Systems,3.9,(1.7k),Consumer Electronics & Appliances | Noida +145 other locations
Dhani Loans and Services,3.8,(1.7k),NBFC | Gurgaon / Gurugram +184 other locations
Gabriel India,4.1,(1.7k),Auto Components | Pune +44 other locations
Nuvoco Vistas,4.1,(1.7k),Building Material | Kolkata +170 other locations
Biological E,4.2,(1.7k),Pharma | Hyderabad / Secunderabad +61 other locations
NCR Corporation,3.7,(1.7k),IT Services & Consulting | Hyderabad / Secunderabad +87 other locations
SGS,3.9,(1.7k),Clinical Research | Mumbai +130 other locations
Philips,3.8,(1.7k),Consumer Electronics & Appliances | Bangalore / Bengaluru +87 other locations
Uflex,3.8,(1.7k),Packaging | Noida +44 other locations
Microland,3.5,(1.7k),IT Services & Consulting | Bangalore / Bengaluru +43 other locations
Paisabazaar.com,3.4,(1.7k),Internet | Gurgaon / Gurugram +28 other locations
Narayana Health,4.0,(1.7k),Healthcare | Bangalore / Bengaluru +62 other locations
Infinite Computer Solutions,3.3,(1.7k),IT Services & Consulting | Bangalore / Bengaluru +34 other locations
R.R. Donnelley,3.8,(1.7k),Marketing & Advertising | Chennai +23 other locations
American Broadcasting Company,4.0,(1.7k),Bangalore / Bengaluru +106 other locations
Angel One,3.8,(1.7k),FinTech | Mumbai +127 other locations
Dr Lal PathLabs,4.2,(1.7k),Healthcare | New Delhi +176 other locations
